year,subject,question_no,title,total_score,answer,analysis,images
2011,数据结构,41,"已知有 6 个顶点（顶点编号为 0～5）的有向带权图 G ，其邻接矩阵 A 为上三角矩阵，按行为主序（行优先）保存在如下的一维数组中。
要求：
(1) 写出图 G 的邻接矩阵 A 。
(2) 画出有向带权图 G 。
(3) 求图 G 的关键路径，并计算该关键路径的长度。
46∞∞∞5∞∞∞43∞∞33",10,,"1）上三角矩阵 A[6][6] 中，第 1 行至第 5 行主对角线上方的元素个数分别为 5, 4, 3, 2, 1,
由此可以画出压缩存储数组中的元素所属行的情况，如下图所示。46∞∞∞5∞∞∞43∞∞33第1行第2行第4行第3行第5行用“平移”的思想，将前 5 个、后 4 个、后 3 个、后 2 个、后 1 个元素，分别移动到矩阵对
角线 (“0”) 右边的行上。图 G 的邻接矩阵 A 如下所示。A=​0∞∞∞∞∞​40∞∞∞∞​650∞∞∞​∞∞40∞∞​∞∞3∞0∞​∞∞∞330​​2）据上面的邻接矩阵，画出有向带权图 G, 如下图所示。0123454654333(3) 按照算法，先计算各个事件的最早发生时间，计算过程如下：ve(0)=0;ve(1)=ve(0)+a0→1​=4;ve(2)=max(ve(0)+a0→1​,ve(1)+a1→2​)=max(6,4+5)=9;ve(3)=ve(2)+a2→3​=9+4=13;ve(4)=ve(2)+a2→4​=9+3=12;ve(5)=max(ve(3)+a3→5​,ve(4)+a4→5​)=max(16,15)=16;接下来求各个时间的最迟发生时间，计算过程如下：vl(5)=ve(5)=16;vl(4)=vl(5)−a4→5​=16−3=13;vl(3)=vl(5)−a3→5​=16−3=13;vl(2)=min(vl(3)−a2→3​,vl(4)−a2→4​)=min(9,10)=9;vl(1)=vl(2)−a1→2​=4;vl(0)=min(vl(2)−a0→2​,vl(1)−a0→1​)=min(3,0)=0;即 ve() 和 vl() 数组如下表所示。i012345ve(i)049131216vl(i)049131316接下来计算所有活动的最早和最迟发生时间 e() 和 l()：e(a0→1​)=e(a0→2​)=ve(0)=0;e(a1→2​)=ve(1)=4;e(a2→3​)=e(a2→4​)=ve(2)=9;e(a3→5​)=ve(3)=13;e(a4→5​)=ve(4)=12;l(a4→5​)=vl(5)−a4→5​=16−3=13;l(a3→5​)=vl(5)−a3→5​=16−3=13;l(a2→4​)=vl(4)−a2→4​=13−3=10;l(a2→3​)=vl(3)−a2→3​=13−4=9;l(a1→2​)=vl(2)−a1→2​=9−5=4;l(a0→2​)=vl(2)−a0→2​=9−6=3;l(a0→1​)=vl(1)−a0→1​=4−4=0;e() 和 l() 数组与它们的差值如下表所示。a0→1​a0→2​a1→2​a2→3​a2→4​a3→5​a4→5​e()004991312l()0349101313l-e0300101满足 l() - e() = 0 的路径就是关键路径，所以关键路径为a0→1​、a1→2​、a2→3​、a3→5​，如下图所示（粗线表示），长度为4+5+4+3=16。0123454654333",
2011,数据结构,42,"一个长度为 L（L ≥ 1） 的升序序列 S ，处在第⌈L/2⌉个位置的数称为 S 的中位数。例如，若序列 S1 = (11,13,15,17,19)，则 S1 的中位数是 15 。两个序列的中位数是含它们所有元素的升序序列的中位数。例如，若序列 S2 = (2,4,6,8,20)，则 S1 和 S2 的中位数是 11 。现有两个等长的升序序列 A 和 B ，试设计一个在时间和空间两方面都尽可能高效的算法，找出两个序列 A 和 B 的中位数。要求：
(1) 给出算法的基本设计思想。
(2) 根据设计思想，采用 C 或 C++ 或 Java 语言描述，关键之处给出注释。
(3) 说明你所设计算法的时间复杂度和空间复杂度。",10,,"(1) 求两个序列 A 和 B 的中位数最简单的办法就是将两个升序序列进行归并排序，然后求其中位数。这种解法虽可求解，但在时间和空间两方面都不大符合高效的要求，但也能获得部分分值。根据题目分析，分别求两个升序序列 A 和 B 的中位数，设为 a 和 b。① 若a=b，则a或b即为所求的中位数。原因：容易验证，如果将两个序列归并排序，则最终序列中，排在子序列 b 前边的元素为先前两个序列中排在 a 和 b 前边的元素；排在子序列 ab 后边的元素为先前两个序列中排在 a 和 b后边的元素。所以子序列 ab 一定位于最终序列的中间，又因为 a=b，显然 a 就是中位数。②否则（假设a<b)，中位数只能出现 (a,b) 范围内。原因：同样可以用归并排序后的序列来验证，归并排序后必然有形如⋯a⋯b⋯的序列出现，中位数必出现在 (a,b) 之间。因此可以做如下处理：舍弃 a 所在序列 A 的较小一半，同时舍弃 b 所在序列 B 的较大一半。在保留两个升序序列中求出新的中位数 a 和 b，重复上述过程，直到两个序列中只含一个元素时为止，则较小者即为所求的中位数。每次总的元素个数变为原来的一半。算法的基本设计思想如下。分别求出序列 A 和 B 的中位数，设为 a 和 b，求序列 A 和 B 的中位数过程如下：① 若a=b，则 a 或 b 即为所求中位数，算法结束。② 若a<b，则舍弃序列 A 中较小的一半，同时舍弃序列 B 中较大的一半，要求舍弃的长度
相等。③ 若a>b，则舍弃序列 A 中较大的一半，同时舍弃序列 B 中较小的一半，要求舍弃的长度
相等。在保留的两个升序序列中，重复过程①、②、③，直到两个序列中只含一个元素时为止，较小者即为所求的中位数。2）算法实现intM_Search(intA[],intB[],intn){ints1=0,d1=n-1,m1,s2=1,d2=n-1,m2;// 分别表示序列 A 和 B 的首位、末位和中位数while(s1!=d1||s2!=d2){m1=(s1+d1)/2;m2=(s2+d2)/2;if(A[m1]==B[m2])returnA[m1];// 满足条件 1if(A[m1]<B[m2]){// 满足条件 2if((s1+d1)%2==0){// 若元素个数为奇数s1=m1;// 舍弃 A 中间点以后的部分，且保留中间点d2=m2;// 舍弃 B 中间点以前的部分，且保留中间点}else{// 元素个数为偶数s1=m1+1;// 舍弃 A 中间点及中间点以后的部分d2=m2;// 舍弃 B 中间点以前部分，且保留中间点}}else{// 满足条件 3if((s1+d1)%2==0){// 若元素个数为奇数d1=m1;// 舍弃 A 中间点以前的部分，且保留中间点s2=m2;// 舍弃 B 中间点以后的部分，且保留中间点}else{// 元素个数为偶数d1=m1+1;// 舍弃 A 中间点及中间点以前部分s2=m2;// 舍弃 B 中间点以后的部分，且保留中间点}}}returnA[s1]<B[s2]?A[s1]:B[s2];}3）时间复杂度 O(n)，空间复杂度 O(1)。",
2011,计算机组成原理,43,"假定在一个 8 位字长的计算机中运行如下 C 程序段：
若编译器编译时将 8 个 8 位寄存器 R1～R8 分别分配给变量 x、y、m、n、z1、z2、k1 和 k2。请回答下列问题。（提示：带符号整数用补码表示）
(1) 执行上述程序段后，寄存器 R1、R5 和 R6 的内容分别是什么（用十六进制表示）？
(2) 执行上述程序段后，变量 m 和 k1 的值分别是多少（用十进制表示）？
(3) 上述程序段涉及带符号整数加/减、无符号整数加/减运算，这四种运算能否利用同一个加法器及辅助电路实现？简述理由。
(4) 计算机内部如何判断带符号整数加/减运算的结果是否发生溢出？上述程序段中，哪些带符号整数运算语句的执行结果会发生溢出？
unsignedintx=134;unsignedinty=246;intm=x;intn=y;unsignedintz1=x-y;unsignedintz2=x+y;intk1=m-n;intk2=m+n;",10,,"1）134 = 128 + 6 = 1000 0110B，所以 x 的机器数为 1000 0110B，故 R1 的内容为 86H。246 = 255 - 9 = 1111 0110B，所以 y 的机器数为 1111 0110B。x-y: 1000 0110 + 0000 1010 = (0)1001 0000，括弧中为加法器的进位，故 R5 的内容为 90H。x+y: 1000 0110 + 1111 0110 = (1)0111 1100，括弧中为加法器的进位，故 R6 的内容为 7CH。2）m 的机器数与 x 的机器数相同，皆为 86H=1000 0110B，解释为带符号整数 m（用补码
表示）时，其值为 -1111010B = -122。m-n 的机器数与 x-y 的机器数相同，皆为 90H=1001 0000B，解释为带符号整数 k1（用
补码表示）时，其值为 -1110000B = -112。3）能。n 位加法器实现的是模2n无符号整数加法运算。对于无符号整数 a 和 b，a + b 可以直接用加法器实现，而 a - b 可以通过 a 加上 b 的补数来实现，即 a - b 等价于 a 加上 -b 的补码，结果对 2 的 n 次方取模。因此，n 位无符号整数的加法和减法运算都可以通过 n 位加法器实现。由于带符号整数使用补码表示，其加减法遵循的公式是：a + b 的补码等于 a 的补码加上 b 的补码，结果对 2 的 n 次方取模；同样，a - b 的补码等于 a 的补码加上 -b 的补码，结果也对 2 的 n 次方取模。因此，n 位带符号整数的加减运算也都可以通过 n 位加法器完成。4）带符号整数加/减运算的溢出判断规则为：若加法器的两个输入端（加法）的符号相同，且不同于输出端（和）的符号，则结果溢出，或加法器完成加法操作时，若次高位的进位和最高位的进位不同，则结果溢出。最后一条语句执行时会发生溢出。因为 10000110+11110110=(1)01111100，括弧中为加法器的进位，根据上述溢出判断规则，可知结果溢出。或因为 2 个带符号整数均为负数，它们相加之后，结果小于 8 位二进制所能表示的最小负数。",
2011,计算机组成原理,44,"某计算机存储器按字节编址，虚拟（逻辑）地址空间大小为 16MB，主存（物理）地址空间大小为 1MB，页面大小为 4KB：Cache 采用直接映射方式，共 8 行：主存与 Cache 之间交换的块大小为 32B。系统运行到某一时刻时，页表的部分内容和 Cache 的部分内容分别如题 44-a 图、题 44-b 图所示，图中页框号及标记字段的内容为十六进制形式。
请回答下列问题∶
(1) 虚拟地址共有几位，哪几位表示虚页号？物理地址共有几位，哪几位表示页框号（物理页号）？
(2) 使用物理地址访问 Cache 时，物理地址应划分成哪几个字段？要求说明每个字段的位数及在物理地址中的位置。
(3) 虚拟地址 001C60H 所在的页面是否在主存中？若在主存中，则该虚拟地址对应的物理地址是什么？访问该地址时是否 Cache 命中？要求说明理由。
(4) 假定为该机配置一个 4 路组相连的 TLB，该 TLB 共可存放 8 个页表项，若其当前内容（十六进制）如题 44-c 图所示，则此时虚拟地址 024BACH 所在的页面是否在主存中？要求说明理由。",10,,1）存储器按字节编址，虚拟地址空间大小为 16B=24B，故虚拟地址为 24 位；页面大小为4KB=212B，故高 12 位为虚页号。主存地址空间大小为1MB=22B，故物理地址为 20 位；由于页内地址为 12 位，故高 8 位为页框号。2）由于 Cache 采用直接映射方式，所以物理地址各字段的划分如下。| Tag 标记 | Cache 行号 | 块内偏移 |块大小为 32B，所以块内偏移为 5 位；Cache 共 8 行，故 Cache 行号为 3 位，标记字段为 20-5-3=12 位。3）虚拟地址 001C60H 的前 12 位为虚页号，即 001H，查看 001H 处的页表项，其对应的效位为 1，故虚拟地址 001C60H 所在的页面在主存中。页表 001H 处的页框号为 04H，与页内偏移（虚拟地址后 12 位）拼接成物理地址为 04C60H.物理地址 04C60H=00000100110001100000B，主存块只能映射到 Cache 的第 3 行（即第 011B 行），由于该行的有效位=1，标记（值为 105H) ≠ 04CH（物理地址高 12 位），故不命中。4）由于 TLB 采用四路组相联，故 TLB 被分为 8/4=2 个组，因此虚页号中高 11 位为 TLB 标记、最低 1 位为 TLB 组号。虚拟地址 024BACH=000000100100101110101100B，虚页号为 000000100100B，TLB 标记为 00000010010B（即 012H)，TLB 组号为 0B，因此，该虚拟地址所对应物理页面只可能映射到 TLB 的第 0 组。组 0 中存在有效位=1、标记=012H 的项，因此访问 TLB 命中，即虚拟地址 024BACH 所在的页面在主存中。,
2011,操作系统,45,"某银行提供 1 个服务窗口和 10 个顾客等待座位。顾客到达银行时，若有空座位，则到取号机领取一个号，等待叫号。取号机每次仅允许一位顾客使用。当营业员空闲时，通过叫号选取一位顾客，并为其服务。顾客和营业员的活动过程描述如下：
请添加必要的信号量和 P、V（或wait()、signal()）操作实现上述过程的互斥和同步。要求写出完整的过程，说明信号量的含义并赋初值。",10,,"1）互斥资源：取号机（一次只一位顾客领号），因此设一个互斥信号量 mutex。2）同步问题：顾客需要获得空座位等待叫号，当营业员空闲时，将选取一位顾客并为其服务。空座位的有、无影响等待顾客数量，顾客的有、无决定了营业员是否能开始服务，故分别设置信号量 empty 和 full 来实现这一同步关系。另外，顾客获得空座位后，需要等待叫号和被服务。这样，顾客与营业员就服务何时开始又构成了一个同步关系，定义信号量 service 来完成这一同步过程。semaphore empty   = 10;       // 空座位的数量
semaphore mutex   = 1;        // 互斥使用取号机
semaphore full    = 0;        // 已占座位的数量
semaphore service = 0;        // 等待叫号

process 顾客 i {
    P(empty);                 // 等空位
    P(mutex);                 // 申请使用取号机
    从取号机上取号;
    V(mutex);                 // 取号完毕
    V(fu11);                  // 通知营业员有新顾客
    P(service);               // 等待营业员叫号
    接受服务;
}

process 营业员 {
    while(True) (
        P(fu11);              // 没有顾客则休息
        叫号;
        V(empty);             // 离开座位
        V(service);           // 叫号
        为顾客服务;
    }
}",
2011,操作系统,46,"某文件系统为一级目录结构，文件的数据一次性写入磁盘，已写入的文件不可修改，但可多次创建新文件。请回答如下问题∶
(1) 在连续、链式、索引二种文件的数据块组织方式中。哪种更合适？要求说明理由。为定位文件数据块，需要在 FCB 中设计哪些相关描述字段？
(2) 为快速找到文件，对于 FCB，是集中存储好，还是与对应的文件数据块连续存储好？要求说明理由。",10,,1）在磁盘中连续存放（采取连续结构），磁盘寻道时间更短，文件随机访问效率更高；在 FCB 中加入的字段为：<起始块号，块数> 或者 <起始块号，结束块号>。2）将所有的 FCB 集中存放，文件数据集中存放。这样在随机查找文件名时，只需访问 FCB 对应的块，可减少磁头移动和磁盘 I/O 访问次数。,
2011,计算机网络,47,"某主机的 MAC 地址为 00-15-C5-C1-5E-28，IP 地址为 10.2.128.100（私有地址）。题 47-a 图是网络拓扑，题 47-b 图是该主机进行 Web 请求的 1 个以太网数据帧前 80 个字节的十六进制及 ASCII 码内容。
请参考图中的数据回答以下问题。
(1) Web 服务器的 IP 地址是什么？该主机的默认网关的 MAC 地址是什么？
(2) 该主机在构造题 47-b 图的数据帧时，使用什么协议确定目的 MAC 地址？封装该协议请求报文的以太网帧的目的 MAC 地址是什么？
(3) 假设 HTTP/1.1 协议以持续的非流水线方式工作，一次请求 - 响应时间为 RTT，rfc.html 页面引用了 5 个 JPEG 小图像，则从发出题 47-b 图中的 Web 请求开始到浏览器收到全部内容为止，需要多少个 RTT？
(4) 该帧所封装的 IP 分组经过路由器 R 转发时，需修改 IP 分组头中的哪些字段？
注意：以太网数据帧结构和 IP 分组头结构分别如题 47-c 图、题 47-d 图所示。",10,,1）以太网帧的数据部分是 IP 数据报，只要数出相应字段所在的字节即可。由图可知以太网帧头部有 6+6+2=14 字节，IP 数据报首部的目的 IP 地址字段前有 4×4=16 字节，从帧的第 1 字节开始数 14+16=30 字节，得目的 IP 地址 40.aa.62.20（十六进制），转换成十进制为 64.170.98.32。可知以太网帧的前 6 字节 00-21-27-21-51-ee 是的 MAC 地址，即为主机的默认网关 10.2.128.1 端口的 MAC 地址。2）ARP 协议于解决 IP 地址到 MAC 地址的映射问题。主机的 ARP 进程在本以太网以广播的形式发送 ARP 请求分组，在以太网上广播时，以太网帧的目的地址为全 1，即 FF-FF-FF-FF-FF-FF。3）HTTP/1.1 协议以持续的非流水线方式工作时，服务器在发送响应后仍然在一段时间内保持这段连接，客户机在收到前一个请求的响应后才能发出下一个请求。第一个 RTT 用于请求 Web 页面，客户机收到第一个请求的响应后（还有五个请求未发送），每访问一次对象就用去一个 RTT。故共需 1+5=6 个 RTT 后浏览器收到全部内容。4）源 IP 地址 0a.02.80.64 改为 65.0c.7b.0f；生存时间（TTL）减 1；校验和字段重新计算。私有地址和 Internet 的主机通信时，须由NAT路由器进行网络地址转换，把 IP 数据报的源 IP 地址（本题为私有地址 10.2.128.100）转换为 NAT 路由器的一个全球 IP 地址（本题为 101.12.123.15）因此，源 IP 地址字段 0a 02 80 64 变为 65 0c 7b 0f。IP 数据报每经过一个路由器，生存时间 TTL 值就减 1，并重新计算首部校验和。若 IP 分组的长度超过输出链路的 MTU，则总长度字段、标志字段、片偏移字段也要发生变化。注意：题 47-b 图中每行前 4bit 是数据帧的字节计数，不属于以太网数据帧的内容。【评分说明】若考生解答时将所有 IP 头中的字段进行罗列，不给分，其他情况的情给分。,
2012,数据结构,41,"设有 6 个有序表 A、B、C、D、E、F，分别含有 10、35、40、50、60 和 200 个数据元素，各表中元素按升序排列。要求通过 5 次两两合并，将 5 个表最终合并成 1 个升序表，并在最坏情况下比较的总次数达到最小。请回答下列问题。
(1) 给出完整的合并过程，并求出最坏情况下比较的总次数。
(2) 根据你的合并过程，描述N(N≥2)个不等长升序表的合并策略，并说明理由。",10,,"1）对于长度分别为 m, n 的两个有序表的合并，最坏情况下是一直比较到两个表尾元素，比较次数为 m +n-1 次。故最坏情况的比较次数依赖于表长，为了缩短总的比较次数，根据哈夫曼树（最佳归并树）思想的启发，可采用如图所示的合并顺序。39519520085110454010355060根据上图中的哈夫曼树，6 个序列的合并过程为：第 1 次合并：表 A 与表 B 合并，生成含有 45 个元素的表 AB ;第 2 次合并：表 AB 与表 C 合并，生成含有 85 个元素的表 ABC;第 3 次合并：表 D 与表 E 合并，生成含有 110 个元素表 DE;第 4 次合并：表 ABC 与表 DE 合并，生成含有 195 个元素的表 ABCDE;第 5 次合并：表 ABCDE 与表 F 合并，生成含有 395 个元素的最终表。由上述分析可知，最坏清况下的比较次数为：第 1 次合并，最多比较次数 = 10+35-1 = 44；第 2 次合并，最多比较次数 = 45+40-1 = 84；第 3 次合并，最多比较次数 = 50+60-1 = 109；第 4 次合并，最多比较次数 = 85+110-1 = 194；第 5 次合并，最多比较次数 = 195+200-1 = 394。故比较的总次数最多为：44+84+109+194+394 = 825。2）各表的合并策略是：在对多个有序表进行两两合并时，若表长不同，则最坏情况下总的比较次数依赖于表的合并次序。可以借用哈夫曼树的构造思想，依次选择最短的两个表进行合并，可以获得最坏情况下最佳的合并效率。【评分说明】①对于用类似哈夫曼树（或最佳归并树）思想进行合并，过程描述正确，给 5 分。按其他策略进行合并，过程描述正确，给 3 分。②正确算出与合并过程一致的总比较次数，给 2 分。若计算过程正确，但结果错误，可给 1 分。③考生只要说明采用的是类似哈夫曼树（或最佳归并树）的构造方法作为合并策略，即可给 3 分。如果采用其他策略，只要能够完成合并，给 2 分。",
2012,数据结构,42,"假定采用带头结点的单链表保存单词，当两个单词有相同的后缀时，则可共享相同的后缀存储空间，例如，“loading"" 和 “being” 的存储映像如下图所示。
设 str1 和 str2 分别指向两个单词所在单链表的头结点，链表结点结构为| data | next |，请设计一个时间上尽可能高效的算法，找出由 str1 和 str2 所指向两个链表共同后缀的起始位置（如图中字符 i 所在的结点位置 p）。要求：
1）给出算法的基本设计思想。
2）根据设计思想，采用 C 或 C++ 或 Java 语言描述算法，关键之处给出注释。
3）说明你所设计算法的时间复杂度。",10,,"顺序遍历两个链表到尾结点时，并不能保证两个链表同时到达尾结点。这是因为两个链表的长度不同。假设一个链表比另 一个链表长 k 个结点，我们先在长链表上遍历 k 个结点，之后同步遍历两个链表，这样就能够保证它们同时到达最后一个结点。由于两个链表从第一个公共结点到链表的尾结点都是重合的，所以它们肯定同时到达第 一个公共结点。loadbeing^str1str2ing^尾部对齐pq算法的基本设计思想：①分别求出 strl 和 str2 所指的两个链表的长度 m 和 n。②将两个链表以表尾对齐：令指针 p、q 分别指向 strl 和 str2 的头结点，若m≥n，则使 p 指向链表中的第 m-n+1 个结点；若m<n，则使 q 指向链表中的第 n-m+1 个结点，即使指针 p 和 q 所指的结点到表尾的长度相等。③反复将指针 p 和 q 同步向后移动，并判断它们是否指向同一结点。若 p 和 q 指向同一结点，则该点即为所求的共同后缀的起始位置。2）算法的 C 语言代码描述：structNode{intdata;Node*next;};intgetLength(Node*h){intlength=0;Node*p=h->next;while(p){length++;p=p->next;}returnlength;}Node*findCommonSuffix(Node*h1,Node*h2){Node*p1=h1;Node*p2=h2;intm=getLength(h1);intn=getLength(h2);if(m>n){for(inti=0;i<m-n;i++){p1=p1->next;}}else{for(inti=0;i<n-m;i++){p2=p2->next;}}while(p1!=p2){p1=p1->next;p2=p2->next;}returnp1;}【评分说明】 ① 若考生所给算法实现正确，且时间复杂度为 O(m+n)，可给 12分；若算法正确，但时间复杂度超过 O(m+n)，则最高可给 9 分。② 若在算法的基本设计思想描述中因文字表达没有非常清晰反映出算法思路，但在算法实现中能够清晰看出算法思想且正确的，可参照①的标准给分。③ 若算法的基本设计思想描述或算法实现中部分正确，可参照①中各种情况的相应给分标准酌情给分。③ 时间复杂度为 O(len1+len2) 或 O(max(len1,len2)), 其中 len1、len2 分别为两个链表的长度。",
2012,计算机组成原理,43,"假定某计算机的 CPU 主频为 80MHz，CPI 为 4，平均每条指令访存 1.5 次，主存与 Cache 之间交换的块大小为 16B，Cache 的命中率为 99%，存储器总线宽度为 32 位。请回答下列问题。
(1) 该计算机的 MIPS 数是多少？平均每秒 Cache 缺失的次数是多少？在不考虑 DMA 传送的情况下，主存带宽至少达到多少才能满足 CPU 的访存要求？
(2) 假定在 Cache 缺失的情况下访问主存时，存在 0.0005% 的缺页率，则 CPU 平均每秒产生多少次缺页异常？若页面大小为 4KB，每次缺页都需要访问磁盘，访问磁盘时 DMA 传送采用周期挪用方式，磁盘 I/O 接口的数据缓冲寄存器为 32 位，则磁盘 I/O 接口平均每秒发出的 DMA 请求次数至少是多少？
(3) CPU 和 DMA 控制器同时要求使用存储器总线时，哪个优先级更高？为什么？
(4) 为了提高性能，主存采用四体低位交叉存储模式，工作时每 1/4 个存储周期启动一个体。若每个体的存储周期为 50ns，则该主存能提供的最大带宽是多少？",10,,本题综合涉及多个考点：计算机的性能指标、存储器的性能指标、DMA 的性能分析，DMA 方式的特点，多体交叉存储器的性能分析。1）平均每秒 CPU 执行的指令数为：80M/4 = 20M，故MIPS数为 20；（1 分）平均每条指令访存 1.5 次，故平均每秒 Cache 缺失的次数 = 20M×1.5×(1-99%) = 300k;（1 分）当 Cache 缺失时，CPU 访问主存，主存与 Cache 之间以块为传送单位，此时，主存带宽为16B×300k/s = 4.8MB/s。在不考虑 DMA 传送的情况下，主存带宽至少达到 4.8MB/s 才能满足 CPU 的访存要求。（2 分）2）题中假定在 Cache 缺失的情况下访问主存，平均每秒产生缺页中断 300000×0.0005% = 1.5 次。因为存储器总线宽度为 32 位，所以每传送 32 位数据，磁盘控制器发出一次 DMA 请求，故平均每秒磁盘 DMA 请求的次数至少为 1.5×4KB/4B = 1.5K = 1536。（2 分）3）CPU 和 DMA 控制器同时要求使用存储器总线时，DMA 请求优先级更高；（1 分）因为 DMA 请求得不到及时响应，I/O 传输数据可能会丢失。（1 分）4）四体交叉存储模式能提供的最大带宽为 4×4B/50ns=320MB/s。（2 分）,
